"Column Name","Data Type","Nullable","Default","Primary Key"
"ID","VARCHAR2(35)","No","","1"
"PASSWORD","VARCHAR2(35)","Yes","",""
"NAME","VARCHAR2(125)","No","",""
"BRANCH_NAME","VARCHAR2(125)","Yes","",""
"ACTYPE","VARCHAR2(12)","Yes","",""
"FNAME","VARCHAR2(125)","Yes","",""
"MNAME","VARCHAR2(125)","Yes","",""
"IFSC","VARCHAR2(11)","Yes","",""
"ACNO","NUMBER(12,0)","No","",""
"DOB","DATE","Yes","",""
"GENDER","VARCHAR2(12)","Yes","",""
"MOBILE","NUMBER(10,0)","Yes","",""
"EMAIL","VARCHAR2(250)","Yes","",""
"ADDRESS","VARCHAR2(300)","Yes","",""
"AADHAR","NUMBER(15,0)","Yes","",""
"OBALANCE","NUMBER(12,2)","Yes","",""
"BALANCE","NUMBER(12,2)","Yes","",""
"SIMG","VARCHAR2(512)","Yes","",""
"PIMG","VARCHAR2(512)","Yes","",""
"LTID","VARCHAR2(38)","Yes","",""
"TDEPOSIT","NUMBER(18,2)","Yes","",""
"TWITHDRAWL","NUMBER(18,2)","Yes","",""
"AODATE","VARCHAR2(80)","Yes","",""
"INTERESTRATE","VARCHAR2(8)","Yes","",""
"FDPERIOD","VARCHAR2(10)","Yes","",""
